         |    (    |    )    |    *    |    +    |    -    |    /    |    ;    |    =    |    A    |    B    |    C    |    D    |    E    |    F    |    G    |    H    |    I    |    J    |    K    |   L    |    M    |    N    |    S    |    a    |    b    |    c    |    d    |    e    |    f    |    g    |    h    |    i    |    j    |    k    |    {    |    }    |    #    |
   31    |    R24  |    R24  |         |    R24  |    R24  |         |    R24  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R24  |    R24  |    R24  |    R24  |    R24  |    R24  |    R24  |         |         |    R24  |
   32    |    R21  |    R21  |         |    R21  |    R21  |         |    R21  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R21  |    R21  |    R21  |    R21  |    R21  |    R21  |    R21  |         |         |    R21  |
   33    |    S18  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |   20    |  49    |   22    |         |         |         |         |         |         |    S23  |    S24  |         |         |         |         |         |         |         |         |
   34    |    R12  |    R12  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R12  |    R12  |         |         |         |         |         |         |         |    R12  |
   35    |    R13  |    R13  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R13  |    R13  |         |         |         |         |         |         |         |    R13  |
   36    |    R14  |    R14  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R14  |    R14  |         |         |         |         |         |         |         |    R14  |
   37    |    R15  |    R15  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R15  |    R15  |         |         |         |         |         |         |         |    R15  |
   38    |    R16  |    R16  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R16  |    R16  |         |         |         |         |         |         |         |    R16  |
   39    |    S18  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |   20    |        |   50    |         |         |         |         |         |         |    S23  |    S24  |         |         |         |         |         |         |         |         |
   40    |    S18  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |   20    |        |   51    |         |         |         |         |         |         |    S23  |    S24  |         |         |         |         |         |         |         |         |
   41    |    R20  |    R20  |         |         |         |         |    R20  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R20  |    R20  |    R20  |    R20  |    R20  |    R20  |    R20  |         |         |    R20  |
   42    |    R17  |    R17  |         |         |         |         |    R17  |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |    R17  |    R17  |    R17  |    R17  |    R17  |    R17  |    R17  |         |         |    R17  |
